PMID,Gene Name,Gene Type,Cell Name,Cell Type,Tissue Type,Experiment Type,Experimental Method,Title,Description of Gene,Interacting Gene,CellOntologyID
32350443,EGFR,TF,Stem cell,Cancer cell,Breast,low-throughput + high-throughput,Weston blot;ChIP-qPCR;qRT-PCR;ChIP-seq,TGFβ and EGF signaling orchestrates the AP-1- and p63 transcriptional regulation of breast cancer invasiveness,"EGFR andΔNp63 enabled and/or potentiated the activationof a subset of TGFβ-inducible invasion/migration-associated genes, e.g.,ITGA2, LAMB3, andWNT7A/B, and enhanced therecruitment of SMAD2/3 to these genes. ",TGFB1,CL_0000034
32350443,TP63,TF,Stem cell,Cancer cell,Breast,low-throughput + high-throughput,Weston blot;ChIP-qPCR;qRT-PCR;ChIP-seq,TGFβ and EGF signaling orchestrates the AP-1- and p63 transcriptional regulation of breast cancer invasiveness,"These cooperative pro-oncogenic functions of EGFR, AP-1, p63, and TGFβwere efficiently inhibited by clinically relevant chemical inhibitors. ",TGFB1,CL_0000034
32350443,JUN,TF,Stem cell,Cancer cell,Breast,low-throughput + high-throughput,Weston blot;ChIP-qPCR;qRT-PCR;ChIP-seq,TGFβ and EGF signaling orchestrates the AP-1- and p63 transcriptional regulation of breast cancer invasiveness,Activator protein (AP)-1 transcription factors are essential elements of the pro-oncogenic functions of transforming growthfactor-β(TGFβ)-SMAD signaling.,TGFB1,CL_0000034
32350443,EGFR,TF,Stem cell,Cancer cell,Breast,low-throughput + high-throughput,Weston blot;ChIP-qPCR;qRT-PCR;ChIP-seq,TGFβ and EGF signaling orchestrates the AP-1- and p63 transcriptional regulation of breast cancer invasiveness,"EGFR is a transcription factor expressed in Cancer stem cell.These cooperative pro-oncogenic functions of EGFR, AP-1, p63, and TGFβ were efficiently inhibited by clinically relevant chemical inhibitors.",ITGA2;LAMB3,CL_0000034
32350443,TGFB1,TF,Stem cell,Cancer cell,Breast,low-throughput + high-throughput,Weston blot;ChIP-qPCR;qRT-PCR;ChIP-seq,TGFβ and EGF signaling orchestrates the AP-1- and p63 transcriptional regulation of breast cancer invasiveness,"TGFB1 is a transcription factor expressed in Cancer stem cell.These cooperative pro-oncogenic functions of EGFR, AP-1, p63, and TGFβ were efficiently inhibited by clinically relevant chemical inhibitors.",ITGA2;LAMB3,CL_0000034
32350443,TP63,TF,Stem cell,Cancer cell,Breast,low-throughput + high-throughput,Weston blot;ChIP-qPCR;qRT-PCR;ChIP-seq,TGFβ and EGF signaling orchestrates the AP-1- and p63 transcriptional regulation of breast cancer invasiveness,"TP63 is a transcription factor expressed in Cancer stem cell.These cooperative pro-oncogenic functions of EGFR, AP-1, p63, and TGFβ were efficiently inhibited by clinically relevant chemical inhibitors.",ITGA2;LAMB3,CL_0000034
32350443,JUN,TF,Stem cell,Cancer cell,Breast,low-throughput + high-throughput,Weston blot;ChIP-qPCR;qRT-PCR;ChIP-seq,TGFβ and EGF signaling orchestrates the AP-1- and p63 transcriptional regulation of breast cancer invasiveness,"JUN is a transcription factor expressed in Cancer stem cell.These cooperative pro-oncogenic functions of EGFR, AP-1, p63, and TGFβ were efficiently inhibited by clinically relevant chemical inhibitors.",ITGA2;LAMB3,CL_0000034
32377817,IRF1,TF,Liver carcinoma cell,Cancer cell,Liver,low-throughput + high-throughput,RT‑PCR;Immunofuorescent staining;Western blot;qPCR;DNA-seq,Interferon regulatory factor 1 (IRF‑1) and IRF‑2 regulate PD‑L1 expression in hepatocellular carcinoma (HCC) cells,IRF-1 antagonizes IRF-2 for binding to the IRE promoter element in PD-L1 which gives new insight to the regulation of PD-L1/PD-1 pathways in hepatocellular carcinoma cell ICB therapy,CD28,CL_0001064
32377817,IRF1,TF,Lung Carcinoma cell,Cancer cell,Liver,low-throughput + high-throughput,RT‑PCR;Immunofuorescent staining;Western blot;qPCR;DNA-seq,Interferon regulatory factor 1 (IRF‑1) and IRF‑2 regulate PD‑L1 expression in hepatocellular carcinoma (HCC) cells,IRF-1 antagonizes IRF-2 for binding to the IRE promoter element in PD-L1 which gives new insight to the regulation of PD-L1/PD-1 pathways in hepatocellular carcinoma cell ICB therapy,CD28,
32377817,IRF2,TF,Liver carcinoma cell,Cancer cell,Liver,low-throughput + high-throughput,RT‑PCR;Immunofuorescent staining;Western blot;qPCR;DNA-seq,Interferon regulatory factor 1 (IRF‑1) and IRF‑2 regulate PD‑L1 expression in hepatocellular carcinoma (HCC) cells,IRF-2 over-expression down-regulates IFN-γ induced PD-L1 promoter activity and protein levels in a dose-dependent manner,CD28,CL_0001064
32377817,IRF2,TF,Lung Carcinoma cell,Cancer cell,Liver,low-throughput + high-throughput,RT‑PCR;Immunofuorescent staining;Western blot;qPCR;DNA-seq,Interferon regulatory factor 1 (IRF‑1) and IRF‑2 regulate PD‑L1 expression in hepatocellular carcinoma (HCC) cells,IRF-2 over-expression down-regulates IFN-γ induced PD-L1 promoter activity and protein levels in a dose-dependent manner,CD28,
32385160,ZBED2,TF,Pancreas cell,Cancer cell,Pancreas,low-throughput + high-throughput,Western blot;Gene knock down;ChIP-seq;NTSYS-pc;RNA-seq;RT-qPCR,ZBED2 is an antagonist of interferon regulatory factor 1 and modifies cell identity in pancreatic cancer,"ZBED2 can repress the pancreatic progenitor transcriptional program, enhance motility, and promote invasion in PDA cells.",IRF1,
32387119,GATA1,TF,Chronic myelogenous leukemia cell,Cancer cell,Blood,low-throughput + high-throughput,RT-PCR;Western blot,"Complex transcriptional regulation of the BCL2L12 gene: Novel, active promoter in K562 cells",SP1 and GATA-1 transcription factors are involved in the regulation of BCL2L12 gene expression in the Chronic MyeloGenous leukemia cell,BCL2L12,
32387119,SP1,TF,Chronic myelogenous leukemia cell,Cancer cell,Blood,low-throughput + high-throughput,RT-PCR;Western blot,"Complex transcriptional regulation of the BCL2L12 gene: Novel, active promoter in K562 cells",SP1 and GATA-1 transcription factors are involved in the regulation of BCL2L12 gene expression in the Chronic MyeloGenous leukemia cell,BCL2L12,
32387119,SP1,TF,Chronic myelogenous leukemia cell,Cancer cell,Blood,low-throughput + high-throughput,RT-PCR;Western blot,"Complex transcriptional regulation of the BCL2L12 gene: Novel, active promoter in K562 cells",SP1 is a marker expressed in Chronic myelogenous leukemia cell.,BCL2L12,
32387119,GATA1,TF,Chronic myelogenous leukemia cell,Cancer cell,Blood,low-throughput + high-throughput,RT-PCR;Western blot,"Complex transcriptional regulation of the BCL2L12 gene: Novel, active promoter in K562 cells",GATA1 is a marker expressed in Chronic myelogenous leukemia cell.,BCL2L12,
32401390,UPF1,TF,Lung carcinoma cell,Cancer cell,Lung,low-throughput + high-throughput,Western blot;qRT-PCR;RNA seq;RT-qPCR;RNA-seq;Microscopic observation,Long noncoding RNAMACC1-AS1 promotes the stemness of nonsmall cell lung cancer cells through promoting UPF1-mediated destabilization of LATS1/2,MACC1-AS1 interacted with up-frameshift 1(UPF1)to modu-late mRNA decay of LATS1/2,LATS2;LATS1,CL_0001064
32401390,UPF1,TF,Lung Carcinoma cell,Cancer cell,Lung,low-throughput + high-throughput,Western blot;qRT-PCR;RNA seq;RT-qPCR;RNA-seq;Microscopic observation,Long noncoding RNAMACC1-AS1 promotes the stemness of nonsmall cell lung cancer cells through promoting UPF1-mediated destabilization of LATS1/2,MACC1-AS1 interacted with up-frameshift 1(UPF1)to modu-late mRNA decay of LATS1/2,LATS2;LATS1,
32401390,UPF1,TF,Lung carcinoma cell,Cancer cell,Lung,low-throughput + high-throughput,Western blot;qRT-PCR;RNA seq;RT-qPCR;RNA-seq;Microscopic observation,Long noncoding RNAMACC1-AS1 promotes the stemness of nonsmall cell lung cancer cells through promoting UPF1-mediated destabilization of LATS1/2,UPF1 is a transcription factor expressed in Lung Carcinoma cell.Long noncoding RNAMACC1-AS1 promotes the stemness of nonsmall cell lung cancer cells through promoting UPF1-mediated destabilization of LATS1/2,LATS2;LATS1,CL_0001064
32401390,UPF1,TF,Lung Carcinoma cell,Cancer cell,Lung,low-throughput + high-throughput,Western blot;qRT-PCR;RNA seq;RT-qPCR;RNA-seq;Microscopic observation,Long noncoding RNAMACC1-AS1 promotes the stemness of nonsmall cell lung cancer cells through promoting UPF1-mediated destabilization of LATS1/2,UPF1 is a transcription factor expressed in Lung Carcinoma cell.Long noncoding RNAMACC1-AS1 promotes the stemness of nonsmall cell lung cancer cells through promoting UPF1-mediated destabilization of LATS1/2,LATS2;LATS1,
32413516,ETV5,TF,Melanocytes cell,Cancer cell,Skin,low-throughput + high-throughput,ChIP-seq;Weston blot;ATAC-seq;RNA-seq,CRISPR Screens Identify Essential Cell Growth Mediators in BRAF Inhibitor-resistant Melanoma,"The JUN family transcription factors and the ETS family transcription factor ETV5 as key regulators of CDK6, which together enable resistance to BRAF inhibitors in melanoma cells.",CDK6,
32413516,JUN,TF,Melanocytes cell,Cancer cell,Skin,low-throughput + high-throughput,ChIP-seq;Weston blot;ATAC-seq;RNA-seq,CRISPR Screens Identify Essential Cell Growth Mediators in BRAF Inhibitor-resistant Melanoma,"JUN family transcription factors and the ETS family transcription factor ETV5 as key regulators of CDK6, which together enable resistance to BRAF inhibitors in melanoma cells",CDK6,
32413516,ETV5,TF,Melanocytes cell,Cancer cell,Skin,low-throughput + high-throughput,ChIP-seq;Weston blot;ATAC-seq;RNA-seq,CRISPR Screens Identify Essential Cell Growth Mediators in BRAF Inhibitor-resistant Melanoma,"JUN family transcription factors and the ETS family transcription factor ETV5 as key regulators of CDK6, which together enable resistance to BRAF inhibitors in melanoma cells",CDK6,
32413516,BRAF,TF,Melanocytes cell,Cancer cell,Skin,low-throughput + high-throughput,ChIP-seq;Weston blot;ATAC-seq;RNA-seq,CRISPR Screens Identify Essential Cell Growth Mediators in BRAF Inhibitor-resistant Melanoma,BRAF is a serine/threonine kinase that harbors activating mutations in 7% of human malignancies and 60% of melanomas.,CDK6,
32413516,JUN,TF,Melanocytes cell,Cancer cell,Skin,low-throughput + high-throughput,ChIP-seq;Weston blot;ATAC-seq;RNA-seq,CRISPR Screens Identify Essential Cell Growth Mediators in BRAF Inhibitor-resistant Melanoma,"The JUN family transcription factors and the ETS family transcription factor ETV5 as key regulators of CDK6, which together enable resistance to BRAF inhibitors in melanoma cells.",CDK6,
32413516,JUN,TF,Melanoma cell,Cancer cell,Skin,low-throughput + high-throughput,ChIP-seq;Weston blot;ATAC-seq;RNA-seq,CRISPR Screens Identify Essential Cell Growth Mediators in BRAF Inhibitor-resistant Melanoma,"The JUN family transcription factors and the ETS family transcription factor ETV5 as key regulators of CDK6, which together enable resistance to BRAF inhibitors in melanoma cells.",CDK6,
32413516,ETV5,TF,Melanoma cell,Cancer cell,Skin,low-throughput + high-throughput,ChIP-seq;Weston blot;ATAC-seq;RNA-seq,CRISPR Screens Identify Essential Cell Growth Mediators in BRAF Inhibitor-resistant Melanoma,"The JUN family transcription factors and the ETS family transcription factor ETV5 as key regulators of CDK6, which together enable resistance to BRAF inhibitors in melanoma cells.",CDK6,
32647362,NCOA3,TF,Stem cell,Cancer cell,Breast,low-throughput + high-throughput,qRT-PCR;Western blot;Immunofluorescent staining;RT-qPCR,Phosphorylation of steroid receptor coactivator-3 (SRC-3) at serine 857 is regulated by the p38 MAPK-MK2 axis and affects NF-κB-mediated transcription,Steroid receptor coactivator-3 (SRC-3) regulates the activity of both nuclear hormone receptors and a number of key transcription factors.,,CL_0000034
32686664,OTX2,TF,Medulloblastoma cell,Cancer cell,Nerve,low-throughput + high-throughput,Microscopic observation;Weston blot;ChIP-qPCR;RNA-seq;Immunohistochemistry,An OTX2-PAX3 signaling axis regulates Group 3 medulloblastoma cell fate,OTX2 is a potent oncogene that promotes tumor growth in Group 3 medulloblastoma.,PAX6;PAX3,
12201995,TGFB1,TF,Stem cell,Normal cell,Embryo,low-throughput,RT-PCR;Western blot,"Differentiating Embryonic Stem Cells: GAPDH, but Neither HPRT Nor Beta-Tubulin Is Suitable as an Internal Standard for Measuring RNA Levels","Enhanced mesodermal differentiation of ES cell derived cultures by treatment with TGF-b through significant upregulation of Brachyury T expression, with a concomitant decrease in expression of the undifferentiated ES cell marker Oct-4.",POU5F1,CL_0000034
14512028,BMP4,TF,Norepinephrine cell,Normal cell,Kidney,low-throughput,Western blot,HAND2 synergistically enhances transcription of dopamine-hydroxylase in the presence of Phox2av,"Noradrenergic neuronal identity and differentiation are controlled by cascades of transcription factors acting downstream of BMP4,including the basic helix–loop– helix DNA binding protein HAND2 and the homeodomain factor PHOX2A.",DBH,
14512028,HAND2,TF,Norepinephrine cell,Normal cell,Kidney,low-throughput,Western blot,HAND2 synergistically enhances transcription of dopamine-hydroxylase in the presence of Phox2av,"Noradrenergic neuronal identity and differentiation are controlled by cascades of transcription factors acting downstream of BMP4,including the basic helix–loop– helix DNA binding protein HAND2 and the homeodomain factor PHOX2A.",DBH,
14512028,PHOX2A,TF,Norepinephrine cell,Normal cell,Kidney,low-throughput,Western blot,HAND2 synergistically enhances transcription of dopamine-hydroxylase in the presence of Phox2av,"Noradrenergic  neuronal  identity  and  differentiation  are  controlled  by  cascades  of  transcription  factors  acting  downstream  of  BMP4,including the basic helix–loop– helix DNA binding protein HAND2 and the homeodomain factor PHOX2A.",DBH,
14561745,REST,TF,Nerve cell,Normal cell,Nerve,low-throughput,RT-PCR;Western blot,Distinct RE-1 Silencing Transcription Factor-containing ComplexesInteract with Different Target Genes,The RE-1 silencing tran-scription factor (REST) is a repressor that is proposed tosilence transcription of numerous neuron-specific genesin non-neuronal cells via recruitment of two independenthistone deacetylase (HDAC)-containing co-repressor com-plexes.,DEFA1,CL_0002319
14575916,POU2AF1,TF,B cell,Normal cell,Bone marrow,low-throughput,PCR,New candidate loci for multiple sclerosis susceptibility revealed by a whole genome association screen in a Belgian population,"In other highlight edregions, preliminary candidate genes from the immune system have been identified: e.g. the integrin ligand EDIL3, the high-mobility groupbox protein TOX, neutral sphingomyelinase activating factor (NSMAF) and the B-cell specific transcription factor POU2AF1.",EDIL3;NSMAF,CL_0000236
15252446,FOXP3,TF,T cell,Normal cell,Lymph,low-throughput + high-throughput,Flow cytometry;qPCR;DNA-seq,HIV Infection of Naturally Occurring and Genetically Reprogrammed Human Regulatory T-cells,"Because Treg cells are present in very few numbers and are difficult to expand in vitro, we genetically modified conventional human T-cells to generate Treg cells in vitro by ectopic expression of FOXP3, a transcription factor associated with reprogramming T-cells into a Treg subset. ",CD4;IL2RA,CL_0000084
15466453,FOXP3,TF,T cell,Normal cell,Lymph,low-throughput,Western blot;Flow cytometry;qPCR;qRT-PCR;RT-PCR,Crucial role of FOXP3 in the development and function of human CD251CD41 regulatory T cells,These results collectively indicate that FOXP3 can be a crucial regulatory gene for the development and function of CD25+CD4+ TR cells in humans and is a reliable marker for human CD25+CD4+ TR cells. ,CD4;IL2RA,CL_0000084
15563463,NOTCH1,TF,Blood cell,Normal cell,Blood,low-throughput + high-throughput,Western blot;Microscopic observation;Flow cytometry;RT-PCR;DNA-seq,Notch Signals Inhibit the Development of Erythroid/Megakaryocytic Cells by Suppressing GATA-1 Activity through the Induction of HES1,These results suggest that Notch1 inhibits the development of erythroid/megakaryocytic cells by suppressing GATA-1 activity through HES1.,HES1;GATA1,
15563473,JUND,TF,Osteoblast cell,Normal cell,Bone,low-throughput,Western blot;RT-PCR;sqRT-PCR,"Menin Suppresses Osteoblast Differentiation by Antagonizing the AP-1 Factor, JunD","The activator protein-1 (AP-1) transcription factor, JUND, is expressed in osteoblasts and has been shown to interact with menin in other cell types.",ALPL;BGLAP;RUNX2,CL_0000062
15567164,S100A4,TF,Periodontal ligament cell,Normal cell,Periodontal ligament,low-throughput,Immunofluorescent staining;Western blot;RT-PCR;qRT-PCR;Microscopic observation,S100A4 inhibition by RNAi up-regulates osteoblast related genes in periodontal ligament cells,These results indicate that S100A4 suppresses the expression of osteoblastic genes in PDL cells and may thus inhibit mineralization in the PDL.,,
15588411,RUNX2,TF,Stem cell,Normal cell,Embryo,low-throughput,RT-PCR;Immunofluorescent staining;Microscopic observation;Western blot,In Vitro Differentiation and In Vivo Mineralization of Osteogenic Cells Derived from Human Embryonic Stem Cells,"We identified mineralizing cells in vitro that immunostained positively for osteocalcin and found an increase in expression of an essential bone transcription factor, RUNX2.",NAN;POU5F1,CL_0000034
15614775,VEGFC,TF,Stem cell,Normal cell,Embryo,low-throughput + high-throughput,Weston blot;Immunofluorescent staining;Bioinformatic prediction;RT-PCR;RT-qPCR;Immunohistochemistry;DNA-Seq,Vascular Gene Expression and Phenotypic Correlation During Differentiation of Human Embryonic Stem Cells,"Up-regulated genes include vasculogenic growth factors such as VEGFA, VEGFC, FIGF (VEGFD), ANG1,ANG2, TGF3, and PDGFB, as well as the related receptors FLT1, FLT4, PDGFRB, TGFR2, and TGFR3,other markers such as CD34, VCAM1, PECAM1, VE-CAD, and transcription factors TAL1, GATA2, and GATA3.",CD34;PDGFRB;PECAM1;FLT4;FLT1,CL_0000034
15614775,VEGFD,TF,Stem cell,Normal cell,Embryo,low-throughput + high-throughput,Weston blot;Immunofluorescent staining;Bioinformatic prediction;RT-PCR;RT-qPCR;Immunohistochemistry;DNA-Seq,Vascular Gene Expression and Phenotypic Correlation During Differentiation of Human Embryonic Stem Cells,"Up-regulated genes include vasculogenic growth factors such as VEGFA, VEGFC, FIGF (VEGFD), ANG1,ANG2, TGF3, and PDGFB, as well as the related receptors FLT1, FLT4, PDGFRB, TGFR2, and TGFR3,other markers such as CD34, VCAM1, PECAM1, VE-CAD, and transcription factors TAL1, GATA2, and GATA3.",PECAM1;PDGFRB;FLT1;CD34,CL_0000034
15614775,TAL1,TF,Stem cell,Normal cell,Embryo,low-throughput + high-throughput,Weston blot;Immunofluorescent staining;Bioinformatic prediction;RT-PCR;RT-qPCR;Immunohistochemistry;DNA-Seq,Vascular Gene Expression and Phenotypic Correlation During Differentiation of Human Embryonic Stem Cells,"Up-regulated genes include vasculogenic growth factors such as VEGFA, VEGFC, FIGF (VEGFD), ANG1,ANG2, TGF3, and PDGFB, as well as the related receptors FLT1, FLT4, PDGFRB, TGFR2, and TGFR3,other markers such as CD34, VCAM1, PECAM1, VE-CAD, and transcription factors TAL1, GATA2, and GATA3.",CD34;PDGFRB;PECAM1;FLT4;FLT1,CL_0000034
15614775,GATA2,TF,Stem cell,Normal cell,Embryo,low-throughput + high-throughput,Weston blot;Immunofluorescent staining;Bioinformatic prediction;RT-PCR;RT-qPCR;Immunohistochemistry;DNA-Seq,Vascular Gene Expression and Phenotypic Correlation During Differentiation of Human Embryonic Stem Cells,"Up-regulated genes include vasculogenic growth factors such as VEGFA, VEGFC, FIGF (VEGFD), ANG1,ANG2, TGF3, and PDGFB, as well as the related receptors FLT1, FLT4, PDGFRB, TGFR2, and TGFR3,other markers such as CD34, VCAM1, PECAM1, VE-CAD, and transcription factors TAL1, GATA2, and GATA3.",PECAM1;PDGFRB;FLT1;CD34,CL_0000034
15614775,GATA3,TF,Stem cell,Normal cell,Embryo,low-throughput + high-throughput,Weston blot;Immunofluorescent staining;Bioinformatic prediction;RT-PCR;RT-qPCR;Immunohistochemistry;DNA-Seq,Vascular Gene Expression and Phenotypic Correlation During Differentiation of Human Embryonic Stem Cells,"Up-regulated genes include vasculogenic growth factors such as VEGFA, VEGFC, FIGF (VEGFD), ANG1,ANG2, TGF3, and PDGFB, as well as the related receptors FLT1, FLT4, PDGFRB, TGFR2, and TGFR3,other markers such as CD34, VCAM1, PECAM1, VE-CAD, and transcription factors TAL1, GATA2, and GATA3.",PECAM1;PDGFRB;FLT1;CD34,CL_0000034
15653675,NKX2-5,TF,Muscle cell,Normal cell,Heart,low-throughput,qRT-PCR;Western blot;Immunofluorescent staining;Microscopic observation,CSX/Nkx2.5 Modulates Differentiation of Skeletal Myoblasts andPromotes Differentiation into Neuronal Cellsin Vitro,"The expression of human NKX2.5 in C2C12 myoblasts inhibited myocytedifferentiation and myotube formation, and up-regu-lated GATA4 and TBX5 expression.",TBX5;GATA4,CL_0000187
15671144,POU5F1,TF,Stem cell,Normal cell,Embryo,low-throughput,Western blot;Immunofluorescent staining;Microscopic observation;RT-PCR,"Derivation and Characterization of New Human Embryonic Stem Cell Lines: SNUhES1, SNUhES2, and SNUhES3","The cell lines express high levels of alkaline phosphatase, cell surface markers (such as SSEA-3, SSEA-4, TRA-1-60, and TRA-1-81), tran-scription factor OCT-4, and telomerase.",NAN;NA,CL_0000034
15735039,HOXB4,TF,Stem cell,Normal cell,Bone marrow,low-throughput + high-throughput,Western blot;Immunofluorescent staining;Flow cytometry;qPCR;;Microscopic observation;DNA-seq,Histone Deacetylase Inhibitor Valproic Acid Enhancesthe Cytokine-Induced Expansion of Human Hematopoietic Stem Cells,"HOXB4, a transcription factor gene with a key role in theregulation of HSC self-renewal and AC133, a recognized marker gene for stem cell populations.",PROM1,CL_0000034
16047342,DLL1,TF,T cell,Normal cell,Lymph,low-throughput,Western blot,"Notch ligands Delta-like1, Delta-like4 and Jagged1 differentially regulate activation of peripheral T helper cells","DLL1 and Jagged1 induce a dose-dependent inhibition of early activation markers CD69 and CD25, as well as inhibition of proliferation after anti-CD3 stimulation of purified CD4+ T cells",CD69;IL2RA,CL_0000084
16091421,SREBF1,TF,Pancreas cell,Normal cell,Pancreas,low-throughput,Immunofluorescent staining;Microscopic observation;Western blot;RT-PCR,ER stress and SREBP-1 activation are implicated in-cell glucolipotoxicity,These results suggest that SREBP-1 activation caused by ER stress is implicated in beta-cell glucolipotoxicity.,PDX1;IRS2,
16140555,RUNX2,TF,Osteoblast cell,Normal cell,Bone,low-throughput + high-throughput,Western blot;Immunofluorescent staining;DNA-seq,"Mutations and promoter SNPs in RUNX2, a transcriptional  regulator of Bone formation",RUNX2 is a transcription factor of Osteoblast cell regulated by the transcription factor TRPS1.,TRPS1,CL_0000062
16140555,TRPS1,TF,Osteoblast cell,Normal cell,Bone,low-throughput + high-throughput,Western blot;Immunofluorescent staining;DNA-seq,"Mutations and promoter SNPs in RUNX2, a transcriptional  regulator of Bone formation",IdentiWcation of TRPS1 as a potential trans-acting factor regulating RUNX2 expression,RUNX2,CL_0000062
16141360,OLIG2,TF,Progenitor cell,Normal cell,Nerve,low-throughput + high-throughput,Western blot;Microscopic observation;Immunofluorescent staining;DNA-seq,Role of transcription factors in motoneuron differentiation of adult human olfactory neuroepithelial-derived progenitors,"Basic helix-loop-helix (bHLH) transcription factor Olig2 has been shown to be essential in the generation of oligodendrocytes and motoneurons in vivo [10]. Olig2 is expressed by motoneuron Progenitors, has a key role in specifying panneuronal properties of developing motoneurons, and precedes the expression of MNR2. Olig2 also directs the expression of motoneuron transcription factors, including Islet1/2 (Isl1/2), LIM-homeodo main (HD) gene, and the MNR2/HB9 homeobox gene, in neural progenitor cells",NEUROG2,
16141360,NEUROG2,TF,Progenitor cell,Normal cell,Nerve,low-throughput + high-throughput,Western blot;Microscopic observation;Immunofluorescent staining;DNA-seq,Role of transcription factors in motoneuron differentiation of adult human olfactory neuroepithelial-derived progenitors,Ngn2 is a transcription factor expressed in adult human olfactory neuroepithelial-derived progenitors.,OLIG2,
16873067,FOXP3,TF,T cell,Normal cell,Immune,low-throughput,qPCR;Western blot;Flow cytometry,FOXP3 Controls Regulatory T CellFunction through Cooperation with NFAT,"Structure guided mutations of FOXP3, predicted toprogressively disrupt its interaction with NFAT,interfere in a graded manner with the ability of FOXP3 to repress expression of the cytokine IL2, upregulate expression of the Treg markers CTLA4 and CD25, and confer suppressor function in a murine model of autoimmune diabetes.",CTLA4;IL2RA,CL_0000084
16873067,JUN,TF,T cell,Normal cell,Immune,low-throughput,qPCR;Western blot;Flow cytometry,FOXP3 Controls Regulatory T CellFunction through Cooperation with NFAT,NFAT forms cooperative complexes with the AP-1 family oftranscription factors and regulates T cell activation associated genes.,CTLA4;IL2RA,CL_0000084
16873067,FOXP2,TF,T cell,Normal cell,Immune,low-throughput,qPCR;Western blot;Flow cytometry,FOXP3 Controls Regulatory T CellFunction through Cooperation with NFAT,The crystalstructure of an NFAT:FOXP2:DNA complex re-veals an extensive protein-protein interaction interface between NFAT and FOXP2.,CTLA4;IL2RA,CL_0000084
16876512,HSF4,TF,Eye cell,Normal cell,Eye,low-throughput + high-throughput,Weston blot;DNA-seq,Novel HSF4 Mutation Causes Congenital Total White Cataract in a Chinese Family,Novel mis-sense mutation R74H in the transcription factor gene HSF4 in a Chinese cataract family and expand the spectrum of HSF4 mutations causing catara.,BFSP2,
16880515,ONECUT1,TF,Liver cell,Normal cell,Liver,low-throughput,RT-PCR;qRT-PCR;RT-qPCR;qPCR;Western blot,Threshold Levels of Hepatocyte Nuclear Factor 6 (HNF-6) Acting inSynergy with HNF-4 and PGC-1_x005f_x005f_x005f_x0002_Are Required for Time-SpecificGene Expression during Liver Development,In this context we investigate here the role of the LETF hepatocytenuclear factor 6 (HNF-6; also called ONECUT1) during hepatocyte differentiation.,G6PC,CL_0000182
16880515,HNF4A,TF,Liver cell,Normal cell,Liver,low-throughput,RT-PCR;qRT-PCR;RT-qPCR;qPCR;Western blot,Threshold Levels of Hepatocyte Nuclear Factor 6 (HNF-6) Acting inSynergy with HNF-4 and PGC-1_x005f_x005f_x005f_x0002_Are Required for Time-SpecificGene Expression during Liver Development,"The expression of HNF-6, HNF-4, and PGC-1 rises steadily during liver development and precedes that of G6PC.",G6PC,CL_0000182
16880515,PPARGC1A,TF,Liver cell,Normal cell,Liver,low-throughput,RT-PCR;qRT-PCR;RT-qPCR;qPCR;Western blot,Threshold Levels of Hepatocyte Nuclear Factor 6 (HNF-6) Acting inSynergy with HNF-4 and PGC-1_x005f_x005f_x005f_x0002_Are Required for Time-SpecificGene Expression during Liver Development,HNF-6 stimulates endogenous G6PC gene expression directly viaa synergistic and interdependent action with HNF-4 and that it involves coordinate recruitment of the coactivator PGC-1.,G6PC,CL_0000182
16885410,POU5F1,TF,Epithelial cell,Normal cell,Kidney,low-throughput,Flow cytometry;qRT-PCR;RT-PCR;Immunofluorescent staining;Microscopic observation,Isolation and Characterization of Multipotent ProgenitorCells from the Bowman’s Capsule of Adult Human Kidneys,"It is demonstrated that in human adult kidneys, a subset of parietal epithelial cells (PEC) in the Bowman’s capsule exhibit coexpression of the stem cell markers CD24 and CD133 and of the stemcell–specific transcription factors OCT4 and BmI-1, in the absence of lineage-specific markers.",PROM1;CD24,CL_0000066
16912082,KLF5,TF,Epithelial cell,Normal cell,Skin,low-throughput,Immunohistochemistry;Western blot;Flow cytometry;Microscopic observation;Immunofluorescent staining,Epidermal and craniofacial defects in mice over expressing Klf5 in the basal layer of the epidermis,Krüppel-like factor5 (KLF5) is a zinc-finger transcription factor normally expressed in the skin.,TP63;CD34,CL_0000066
16923129,NANOG,TF,Stem cell,Normal cell,Embryo,low-throughput,Western blot;Immunofluorescent staining;Microscopic observation; RT-PCR,NANOG maintains self-renewal of primate ES cells in the absence of a feeder layer,NANOG is a homeodomain transcription factor that is expressed specifically in undifferentiatedembryonic stem (ES) cells and has been shown to be essential in the maintenance of pluripotency inmouse ES cells.,GATA6;CDX2;GATA4;AFP,CL_0000034
17339358,IFNGR1,TF,Mononuclear cell,Normal cell,Blood,low-throughput,qRT-PCR;Flow cytometry;Weston blot;sqRTPCR,Modulation of Gamma Interferon Receptor 1 byMycobacterium tuberculosis: a Potential ImmuneResponse Evasive Mechanism,"The IFN-R1 gene (IFNGR1)promoter, the decrease in IFN-R1 mRNA in M. tuberculosis-infected pdTHP-1 cells was shown to be due to the decreased transcription of IFNGR1.",CD14,CL_0000576
